Length,Has_Upper,Has_Lower,Has_Digits,Has_Special,Unique_Chars,Entropy,Label,Password
8,0,1,1,0,8.0,3.0,1,fkzlw123
17,1,1,1,1,17.0,4.08746284125034,0,"7}P;O1:iDFsu,XLmg"
6,0,1,1,0,4.0,1.7924812503605778,1,abc333
17,1,1,1,1,16.0,3.969815782426811,0,`xuq+}(n]h241Zn.9
12,1,1,1,1,12.0,3.584962500721156,0,5|849mLAj%S}
5,1,0,0,0,5.0,2.321928094887362,1,HOUQY
8,0,0,1,0,4.0,1.811278124459133,1,10162010
13,1,1,1,1,12.0,3.5465935642949384,0,`IJP5O^zj5iDr
11,1,1,1,1,11.0,3.459431618637298,0,M)({LvZ[i5u
5,1,0,0,0,5.0,2.321928094887362,1,KPYVD
13,1,1,1,1,12.0,3.5465935642949384,0,KH2X*Mba]26~`
12,1,1,1,1,11.0,3.418295834054489,0,ei;3km`AnAYv
6,0,0,1,0,4.0,1.9182958340544896,1,128618
12,1,1,1,1,11.0,3.418295834054489,0,F\)O9`18'x\B
9,1,0,0,0,6.0,2.4193819456463714,1,QTRNMMHMN
7,0,1,0,0,1.0,0.0,1,bbbbbbb
8,0,1,1,0,8.0,3.0,1,tmwej123
14,1,1,1,1,13.0,3.6644977792004623,0,/7`0+EMcpK_4N+
7,0,1,0,0,7.0,2.807354922057604,1,xdoikvl
7,0,1,0,0,5.0,2.235926350629033,1,xrxkvvg
7,0,1,0,0,6.0,2.521640636343318,1,letmein
6,1,0,0,0,5.0,2.2516291673878226,1,WWPCBY
7,0,1,1,0,6.0,2.5216406363433186,1,john288
7,0,1,1,0,7.0,2.807354922057604,1,mike451
17,1,1,1,1,16.0,3.969815782426811,0,2u!)$.YPOoMR;Q#';
8,0,0,1,0,4.0,1.75,1,02102009
8,0,1,0,0,7.0,2.75,1,incjtjrd
18,1,1,1,1,18.0,4.169925001442312,0,"0SP2xo:\3j8FTU^l,I"
19,1,1,1,1,16.0,3.932138039759373,0,O:wrMzY5{z39_Q@P/OM
7,0,1,1,0,6.0,2.521640636343318,1,john866
8,0,1,1,0,7.0,2.75,1,dkdxt123
6,0,1,0,0,1.0,0.0,1,nnnnnn
5,0,1,0,0,1.0,0.0,1,ooooo
10,1,1,1,1,10.0,3.321928094887362,0,hUJK`r3~Q]
13,1,1,1,1,13.0,3.7004397181410926,0,uD>TUVI|4Am`\
8,0,1,1,0,7.0,2.75,1,abc64615
8,0,1,1,0,7.0,2.75,1,david956
12,1,1,1,1,12.0,3.584962500721156,0,(MN0vC{Pq%ut
10,1,1,1,1,10.0,3.321928094887362,0,qP#(`t+J0?
18,1,1,1,1,15.0,3.8365916681089782,0,"[EVSfccT>8~iX8LXG"""
6,0,1,1,0,5.0,2.2516291673878226,1,abc494
19,1,1,1,1,15.0,3.7871439606981383,0,G@?6T!!8}~Hv}rvx(p!
8,0,1,1,0,8.0,3.0,1,uvqht123
12,1,1,1,1,12.0,3.584962500721156,0,C.[%bZ6Y\z{i
18,1,1,1,1,18.0,4.169925001442312,0,=pdg:E`74)!{tIqLKA
10,1,1,1,1,10.0,3.321928094887362,0,"^es`F2,S]p"
20,1,1,1,1,16.0,3.921928094887362,0,l(:2.Daer:4DClB]ddn#
16,1,1,1,1,13.0,3.625,0,?MY9\HHO\E|VsqA?
6,0,1,1,0,6.0,2.584962500721156,1,abc123
12,1,1,1,1,10.0,3.2516291673878226,0,R;J0PWPO6fWB
10,1,1,1,1,10.0,3.321928094887362,0,s}:F76oROA
11,1,1,1,1,10.0,3.277613436819116,0,E9'nU+H;;2J
10,1,1,1,1,10.0,3.321928094887362,0,@w0Rq;p|Qz
6,0,1,0,0,6.0,2.584962500721156,1,mcpuiv
17,1,1,1,1,15.0,3.807763576417195,0,";Cm>v9ZRs=7j,k=1="
15,1,1,1,1,15.0,3.906890595608518,0,wTph*n#58kF|fR?
15,1,1,1,1,13.0,3.640223928941851,0,>4|-8#8Ijp-g<ys
17,1,1,1,1,16.0,3.969815782426811,0,Q]E$v[<>o[N}lO3kK
18,1,1,1,1,17.0,4.058813890331201,0,q?nit4w0mofz[%E?Pe
16,1,1,1,1,15.0,3.875,0,}AQW&{y9~P[h%r9*
6,0,1,0,0,1.0,0.0,1,ffffff
9,0,1,0,0,8.0,2.9477027792200903,1,bcwpuamae
7,0,1,1,0,7.0,2.807354922057604,1,abc7430
8,0,1,0,0,7.0,2.75,1,igfxipvr
14,1,1,1,1,14.0,3.8073549220576055,0,"]g}?pJ,KW97S(*"
19,1,1,1,1,18.0,4.142664355548847,0,X=/}y>GC[:r4]Tm=^<p
7,0,1,0,0,7.0,2.807354922057604,1,vrlypaz
17,1,1,1,1,15.0,3.8521687236032816,0,R@0}Q')6B`6@ot3D5
16,1,1,1,1,16.0,4.0,0,1*{gLVq$hZ!W;al)
8,0,1,1,0,8.0,3.0,1,crint123
10,0,0,1,0,7.0,2.721928094887362,1,7253876508
8,0,1,1,0,8.0,3.0,1,abc91258
6,0,1,1,0,5.0,2.2516291673878226,1,emma56
8,0,0,1,0,4.0,1.75,1,01102004
6,0,1,0,0,6.0,2.584962500721156,1,bqpfyh
8,0,1,0,0,1.0,0.0,1,pppppppp
8,0,0,1,0,4.0,1.75,1,09082009
15,1,1,1,1,14.0,3.773557262275185,0,liR|)9|Yq5sN&};
4,0,1,0,0,1.0,0.0,1,zzzz
8,0,1,1,0,7.0,2.75,1,eekcw123
17,1,1,1,1,15.0,3.8521687236032816,0,fmb2U$J7ofim]LrOw
17,1,1,1,1,15.0,3.8521687236032816,0,6rGy?QI78~or~|uU#
6,0,1,1,0,5.0,2.2516291673878226,1,emma53
14,1,1,1,1,14.0,3.8073549220576055,0,iDgEmq@9Q<K\T~
8,0,1,0,0,1.0,0.0,1,tttttttt
12,1,1,1,1,11.0,3.418295834054489,0,CY:Mshr07*7{
12,1,1,1,1,12.0,3.584962500721156,0,9'd;}/eT#p2l
7,0,1,1,0,7.0,2.807354922057604,1,john862
8,0,1,1,0,7.0,2.75,1,tyyez123
