first_name,last_name,credit_score,annual_income,loan_amount,employment_duration,Age,EmploymentStatus,MaritalStatus,Vehicle_Ownership,Children_Count,Previous_Loan_Count,default
Zoulikha,Rihane,630.0,391980.0,450000.0,20.0,60.0,self-employed,married,,2.0,7.0,1
Djamila,Layadi,681.0,786285.0,270000.0,5.0,50.0,self-employed,single,No,0.0,1.0,0
Malika,Baghdadi,809.0,642287.0,430000.0,5.0,36.0,self-employed,married,No,0.0,1.0,0
Ali,Mellouli,672.0,1011620.0,560000.0,5.0,64.0,self-employed,divorced,No,1.0,5.0,0
Nadia,Farhi,735.0,1049972.0,260000.0,0.0,29.0,unemployed,married,Yes,,0.0,1
Sara,Guesmi,830.0,1190203.0,450000.0,0.0,42.0,unemployed,single,Yes,0.0,3.0,0
Mohamed,Lasfar,528.0,340390.0,820000.0,0.0,60.0,student,,Yes,2.0,2.0,1
Leila,Dahou,822.0,1624761.0,540000.0,0.0,40.0,unemployed,married,No,2.0,,0
Aisha,Serour,428.0,441848.0,290000.0,0.0,44.0,student,single,No,0.0,2.0,1
Karim,Kebir,726.0,1451413.0,320000.0,0.0,32.0,student,single,Yes,0.0,1.0,1
Amir,Belkacem,792.0,1001585.0,270000.0,5.0,32.0,self-employed,single,Yes,,,0
Sara,Keddad,554.0,853566.0,690000.0,2.0,45.0,employed,married,No,3.0,3.0,1
Khadija,Nadir,849.0,1507153.0,530000.0,16.0,57.0,employed,married,No,5.0,5.0,0
Zohra,Arfaoui,773.0,,630000.0,6.0,61.0,employed,single,Yes,0.0,3.0,1
Said,,700.0,855915.0,200000.0,0.0,45.0,unemployed,single,Yes,0.0,4.0,1
Iman,Ghoul,719.0,1330638.0,360000.0,6.0,24.0,employed,divorced,Yes,0.0,0.0,0
Ahmed,Hamadache,538.0,789706.0,830000.0,5.0,43.0,employed,divorced,Yes,3.0,2.0,1
Said,Lazreg,519.0,604574.0,200000.0,0.0,,unemployed,married,No,0.0,0.0,1
Farida,Reda,484.0,298604.0,490000.0,0.0,45.0,employed,,No,0.0,3.0,0
Leila,Benkhedda,395.0,582832.0,190000.0,0.0,65.0,unemployed,married,Yes,,6.0,1
Rachid,Jaziri,806.0,1721674.0,570000.0,16.0,51.0,employed,married,Yes,0.0,4.0,0
Zohra,Seghir,765.0,1623370.0,600000.0,8.0,59.0,employed,married,Yes,5.0,7.0,0
Khaled,Senhadji,547.0,,740000.0,0.0,23.0,self-employed,,Yes,0.0,0.0,1
Bilal,Nasri,,,640000.0,3.0,42.0,employed,,No,0.0,2.0,1
Amir,Aoudia,737.0,1608611.0,620000.0,20.0,54.0,employed,married,Yes,2.0,6.0,0
Aisha,Leghlimi,434.0,673681.0,270000.0,0.0,33.0,unemployed,divorced,No,0.0,0.0,1
Karim,Chetouane,768.0,1228912.0,350000.0,0.0,43.0,student,married,Yes,1.0,1.0,0
Ahmed,Mouloudi,693.0,715799.0,435000.0,9.0,65.0,employed,divorced,No,,6.0,1
Fatima,Debbah,671.0,272904.0,,0.0,46.0,unemployed,married,No,4.0,3.0,1
Fatima,Sidhoum,738.0,1473704.0,570000.0,23.0,70.0,employed,married,Yes,2.0,5.0,0
Bilal,Nait,671.0,710743.0,,2.0,48.0,employed,divorced,No,1.0,2.0,0
Ahmed,Tekfa,664.0,648543.0,430000.0,0.0,63.0,unemployed,married,Yes,3.0,2.0,0
Ahmed,Maza,461.0,611826.0,,0.0,49.0,unemployed,,Yes,3.0,3.0,1
Lamine,Khammar,791.0,956403.0,270000.0,19.0,,employed,married,,1.0,6.0,0
Yasmin,Hallal,370.0,581109.0,950000.0,0.0,,student,married,No,2.0,4.0,1
Ahmed,Ghanem,688.0,1340341.0,120000.0,16.0,68.0,self-employed,single,No,0.0,,0
Mohamed,Khelifi,768.0,,250000.0,18.0,65.0,employed,,Yes,0.0,6.0,0
Leila,Boughanem,353.0,608264.0,900000.0,2.0,24.0,employed,single,Yes,0.0,2.0,1
Bilal,Ziani,669.0,789821.0,310000.0,0.0,58.0,student,married,No,0.0,3.0,0
Bilal,Chaker,834.0,765258.0,435000.0,7.0,28.0,employed,single,Yes,0.0,0.0,0
Lamine,Harbi,694.0,,860000.0,6.0,42.0,employed,single,Yes,,1.0,0
Farida,Khennous,,1275396.0,420000.0,12.0,30.0,employed,divorced,Yes,0.0,2.0,0
Youssef,Semmar,749.0,1911747.0,190000.0,11.0,60.0,employed,married,Yes,2.0,4.0,0
Bilal,Aribi,741.0,1301900.0,470000.0,16.0,39.0,self-employed,married,No,,1.0,0
Nadia,,676.0,796039.0,190000.0,7.0,,self-employed,married,Yes,3.0,,0
Sofiane,Charef,347.0,273044.0,250000.0,0.0,46.0,student,single,No,0.0,4.0,1
