first_name,last_name,credit_score,annual_income,loan_amount,employment_duration,Age,EmploymentStatus,MaritalStatus,Vehicle_Ownership,Children_Count,Previous_Loan_Count,default
Zoulikha,Rihane,630,391980,450000,20,60,self-employed,married,No,2,7,1
Djamila,Layadi,681,786285,270000,5,50,self-employed,single,No,0,1,0
Malika,Baghdadi,809,642287,430000,5,36,self-employed,married,No,0,1,0
Ali,Mellouli,672,1011620,560000,5,64,self-employed,divorced,No,1,5,0
Nadia,Farhi,735,1049972,260000,0,29,unemployed,married,Yes,0,0,1
Sara,Guesmi,830,1190203,450000,0,42,unemployed,single,Yes,0,3,0
Mohamed,Lasfar,528,340390,820000,0,60,student,married,Yes,2,2,1
Leila,Dahou,822,1624761,540000,0,40,unemployed,married,No,2,4,0
Aisha,Serour,428,441848,290000,0,44,student,single,No,0,2,1
Karim,Kebir,726,1451413,320000,0,32,student,single,Yes,0,1,1
Amir,Belkacem,792,1001585,270000,5,32,self-employed,single,Yes,0,2,0
Sara,Keddad,554,853566,690000,2,45,employed,married,No,3,3,1
Khadija,Nadir,849,1507153,530000,16,57,employed,married,No,5,5,0
Zohra,Arfaoui,773,789272,630000,6,61,employed,single,Yes,0,3,1
Said,Chekkal,700,855915,200000,0,45,unemployed,single,Yes,0,4,1
Iman,Ghoul,719,1330638,360000,6,24,employed,divorced,Yes,0,0,0
Ahmed,Hamadache,538,789706,830000,5,43,employed,divorced,Yes,3,2,1
Said,Lazreg,519,604574,200000,0,23,unemployed,married,No,0,0,1
Farida,Reda,484,298604,490000,0,45,employed,single,No,0,3,0
Leila,Benkhedda,395,582832,190000,0,65,unemployed,married,Yes,5,6,1
Rachid,Jaziri,806,1721674,570000,16,51,employed,married,Yes,0,4,0
Zohra,Seghir,765,1623370,600000,8,59,employed,married,Yes,5,7,0
Khaled,Senhadji,547,898097,740000,0,23,self-employed,divorced,Yes,0,0,1
Bilal,Nasri,623,386950,640000,3,42,employed,married,No,0,2,1
Amir,Aoudia,737,1608611,620000,20,54,employed,married,Yes,2,6,0
Aisha,Leghlimi,434,673681,270000,0,33,unemployed,divorced,No,0,0,1
Karim,Chetouane,768,1228912,350000,0,43,student,married,Yes,1,1,0
Ahmed,Mouloudi,693,715799,435000,9,65,employed,divorced,No,1,6,1
Fatima,Debbah,671,272904,370000,0,46,unemployed,married,No,4,3,1
Fatima,Sidhoum,738,1473704,570000,23,70,employed,married,Yes,2,5,0
Bilal,Nait,671,710743,190000,2,48,employed,divorced,No,1,2,0
Ahmed,Tekfa,664,648543,430000,0,63,unemployed,married,Yes,3,2,0
Ahmed,Maza,461,611826,830000,0,49,unemployed,married,Yes,3,3,1
Lamine,Khammar,791,956403,270000,19,37,employed,married,No,1,6,0
Yasmin,Hallal,370,581109,950000,0,36,student,married,No,2,4,1
Ahmed,Ghanem,688,1340341,120000,16,68,self-employed,single,No,0,7,0
Mohamed,Khelifi,768,1724955,250000,18,65,employed,married,Yes,0,6,0
Leila,Boughanem,353,608264,900000,2,24,employed,single,Yes,0,2,1
Bilal,Ziani,669,789821,310000,0,58,student,married,No,0,3,0
Bilal,Chaker,834,765258,435000,7,28,employed,single,Yes,0,0,0
Lamine,Harbi,694,794226,860000,6,42,employed,single,Yes,0,1,0
Farida,Khennous,830,1275396,420000,12,30,employed,divorced,Yes,0,2,0
Youssef,Semmar,749,1911747,190000,11,60,employed,married,Yes,2,4,0
Bilal,Aribi,741,1301900,470000,16,39,self-employed,married,No,1,1,0
Nadia,Mahdi,676,796039,190000,7,25,self-employed,married,Yes,3,0,0
Sofiane,Charef,347,273044,250000,0,46,student,single,No,0,4,1
Yasmin,Fergani,676,1891933,180000,17,35,employed,single,Yes,0,1,0
Karim,Chahine,745,1391370,550000,12,30,employed,single,Yes,0,0,1
Iman,Mandaci,747,1502123,410000,13,47,employed,married,Yes,0,3,0
Zohra,Chibane,809,996172,460000,2,23,employed,single,Yes,0,2,0
Samira,Meklat,768,1584162,600000,0,41,unemployed,single,No,0,4,1
Iman,Ait Ahmed,630,462645,280000,0,49,student,married,No,3,3,0
Mehdi,Haliche,501,704028,850000,0,68,student,married,No,4,9,1
Leila,Zaalani,740,1507459,400000,10,28,employed,single,No,0,0,0
Nadia,Khemisti,494,294901,400000,0,65,self-employed,divorced,No,1,4,1
Salima,Rahou,785,1640081,480000,11,29,employed,single,No,0,0,0
Amina,Bahri,465,782659,780000,0,68,unemployed,married,Yes,3,0,1
Rachid,Dekkiche,820,1294917,570000,0,56,unemployed,single,Yes,0,4,0
Youssef,El Amine,705,1188326,140000,15,35,employed,married,Yes,4,0,0
Mustafa,Tlemcani,718,798567,90000,20,38,employed,married,Yes,5,2,0
Farida,Lamouri,684,876099.5,600000,11,57,employed,married,Yes,1,2,1
Leila,Makhlouf,517,1011492,430000,3,61,employed,single,Yes,0,3,1
Sofiane,Drif,468,890705,300000,7,25,employed,single,No,0,0,0
Ahmed,Zekri,784,1069352,380000,5,23,employed,divorced,Yes,0,0,0
Farida,Mazouni,784,1500859,100000,6,27,employed,married,Yes,2,0,0
Farida,Laroussi,713,1093315,340000,12,63,employed,single,Yes,0,8,0
Zohra,Zahi,592,322950,310000,7,25,self-employed,married,Yes,1,1,0
Zohra,Aouad,595,800213,680000,0,50,student,single,No,0,3,1
Rachid,Khedairia,309,890679,200000,3,39,employed,married,Yes,3,1,1
Rachid,Kaci,787,1842679,250000,9,47,employed,married,No,2,1,0
